Clade	RGB
AY.5.4	rgb(40.1789077212806, 0.0, 214.8210922787194)
AY.55	rgb(40.33898305084746, 0.0, 214.66101694915255)
AY.5.5	rgb(40.49905838041431, 0.0, 214.5009416195857)
AY.56	rgb(40.65913370998117, 0.0, 214.34086629001882)
AY.5.6	rgb(40.81920903954802, 0.0, 214.180790960452)
AY.57	rgb(40.97928436911488, 0.0, 214.02071563088512)
AY.58	rgb(41.13935969868174, 0.0, 213.86064030131826)
AY.59	rgb(41.29943502824859, 0.0, 213.70056497175142)
AY.6	rgb(41.45951035781545, 0.0, 213.54048964218455)
AY.60	rgb(41.6195856873823, 0.0, 213.3804143126177)
AY.61	rgb(41.779661016949156, 0.0, 213.22033898305085)
AY.62	rgb(41.93973634651601, 0.0, 213.060263653484)
AY.63	rgb(42.099811676082865, 0.0, 212.90018832391712)
AY.64	rgb(42.259887005649716, 0.0, 212.74011299435028)
AY.65	rgb(42.419962335216574, 0.0, 212.58003766478342)
AY.66	rgb(42.580037664783426, 0.0, 212.41996233521658)
AY.67	rgb(42.740112994350284, 0.0, 212.25988700564972)
AY.68	rgb(42.90018832391714, 0.0, 212.09981167608285)
AY.69	rgb(43.06026365348399, 0.0, 211.939736346516)
AY.7	rgb(43.22033898305085, 0.0, 211.77966101694915)
AY.70	rgb(43.3804143126177, 0.0, 211.6195856873823)
AY.71	rgb(43.54048964218456, 0.0, 211.45951035781545)
AY.7.1	rgb(43.70056497175141, 0.0, 211.29943502824858)
AY.72	rgb(43.86064030131827, 0.0, 211.13935969868174)
AY.7.2	rgb(44.02071563088512, 0.0, 210.97928436911488)
AY.73	rgb(44.18079096045198, 0.0, 210.819209039548)
AY.74	rgb(44.34086629001883, 0.0, 210.65913370998118)
AY.75	rgb(44.50094161958569, 0.0, 210.4990583804143)
AY.75.2	rgb(44.66101694915255, 0.0, 210.33898305084745)
AY.75.3	rgb(44.8210922787194, 0.0, 210.1789077212806)
AY.76	rgb(44.981167608286256, 0.0, 210.01883239171374)
AY.77	rgb(45.14124293785311, 0.0, 209.85875706214688)
AY.78	rgb(45.301318267419965, 0.0, 209.69868173258004)
AY.79	rgb(45.46139359698682, 0.0, 209.53860640301318)
AY.8	rgb(45.621468926553675, 0.0, 209.3785310734463)
AY.80	rgb(45.781544256120526, 0.0, 209.21845574387947)
AY.81	rgb(45.941619585687384, 0.0, 209.0583804143126)
AY.82	rgb(46.10169491525424, 0.0, 208.89830508474574)
AY.83	rgb(46.26177024482109, 0.0, 208.7382297551789)
AY.84	rgb(46.42184557438795, 0.0, 208.57815442561204)
AY.85	rgb(46.5819209039548, 0.0, 208.4180790960452)
AY.86	rgb(46.74199623352166, 0.0, 208.25800376647834)
AY.87	rgb(46.90207156308851, 0.0, 208.0979284369115)
AY.88	rgb(47.06214689265537, 0.0, 207.93785310734464)
AY.89	rgb(47.22222222222222, 0.0, 207.77777777777777)
AY.9	rgb(47.38229755178908, 0.0, 207.61770244821093)
AY.90	rgb(47.54237288135593, 0.0, 207.45762711864407)
AY.91	rgb(47.70244821092279, 0.0, 207.2975517890772)
AY.91.1	rgb(47.86252354048965, 0.0, 207.13747645951037)
AY.92	rgb(48.0225988700565, 0.0, 206.9774011299435)
AY.9.2	rgb(48.18267419962336, 0.0, 206.81732580037664)
AY.9.2.1	rgb(48.34274952919021, 0.0, 206.6572504708098)
AY.9.2.2	rgb(48.502824858757066, 0.0, 206.49717514124293)
AY.93	rgb(48.66290018832392, 0.0, 206.33709981167607)
AY.94	rgb(48.822975517890775, 0.0, 206.17702448210923)
AY.95	rgb(48.983050847457626, 0.0, 206.01694915254237)
AY.96	rgb(49.143126177024484, 0.0, 205.8568738229755)
AY.98	rgb(49.303201506591336, 0.0, 205.69679849340866)
AY.98.1	rgb(49.463276836158194, 0.0, 205.5367231638418)
AY.99	rgb(49.62335216572505, 0.0, 205.37664783427493)
AY.99.1	rgb(49.7834274952919, 0.0, 205.2165725047081)
AY.99.2	rgb(49.94350282485876, 0.0, 205.05649717514123)
AZ.1	rgb(50.10357815442561, 0.0, 204.8964218455744)
AZ.2	rgb(50.26365348399247, 0.0, 204.73634651600753)
AZ.2.1	rgb(50.42372881355932, 0.0, 204.5762711864407)
AZ.3	rgb(50.58380414312618, 0.0, 204.41619585687383)
AZ.4	rgb(50.74387947269303, 0.0, 204.25612052730696)
AZ.5	rgb(50.90395480225989, 0.0, 204.09604519774012)
AZ.6	rgb(51.06403013182674, 0.0, 203.93596986817326)
B	rgb(51.2241054613936, 0.0, 203.7758945386064)
B.1	rgb(51.38418079096046, 0.0, 203.61581920903956)
B.10	rgb(51.54425612052731, 0.0, 203.4557438794727)
B.11	rgb(51.704331450094166, 0.0, 203.29566854990583)
B.1.1	rgb(51.86440677966102, 0.0, 203.135593220339)
B.1.103	rgb(52.024482109227876, 0.0, 202.97551789077212)
B.1.104	rgb(52.18455743879473, 0.0, 202.81544256120526)
B.1.105	rgb(52.344632768361585, 0.0, 202.65536723163842)
B.1.106	rgb(52.504708097928436, 0.0, 202.49529190207156)
B.1.108	rgb(52.664783427495294, 0.0, 202.3352165725047)
B.1.1.1	rgb(52.824858757062145, 0.0, 202.17514124293785)
B.1.110	rgb(52.984934086629, 0.0, 202.015065913371)
B.1.1.10	rgb(53.14500941619586, 0.0, 201.85499058380412)
B.1.1.100	rgb(53.30508474576271, 0.0, 201.6949152542373)
B.1.1.101	rgb(53.46516007532957, 0.0, 201.53483992467042)
B.1.110.1	rgb(53.62523540489642, 0.0, 201.37476459510358)
B.1.110.2	rgb(53.78531073446328, 0.0, 201.21468926553672)
B.1.110.3	rgb(53.94538606403013, 0.0, 201.05461393596988)
B.1.1.107	rgb(54.10546139359699, 0.0, 200.89453860640302)
B.1.111	rgb(54.26553672316384, 0.0, 200.73446327683615)
B.1.1.110	rgb(54.4256120527307, 0.0, 200.57438794726932)
B.1.1.111	rgb(54.58568738229755, 0.0, 200.41431261770245)
B.1.1.112	rgb(54.74576271186441, 0.0, 200.25423728813558)
B.1.1.113	rgb(54.90583804143127, 0.0, 200.09416195856875)
B.1.1.114	rgb(55.06591337099812, 0.0, 199.93408662900188)
B.1.1.115	rgb(55.225988700564976, 0.0, 199.77401129943502)
B.1.1.116	rgb(55.38606403013183, 0.0, 199.61393596986818)
B.1.1.117	rgb(55.546139359698685, 0.0, 199.45386064030131)
B.1.1.118	rgb(55.706214689265536, 0.0, 199.29378531073445)
B.1.1.119	rgb(55.866290018832395, 0.0, 199.1337099811676)
